instance;n;m;density;min_deg;max_deg;mean_deg;clustering;diameter;avg_path_len;ecc_min;ecc_max;ecc_std;betw_avg;betw_max;close_avg;close_max;degeneracy;deg_assort;clustering_avg;transitivity;spectral_radius;algebraic_conn;cyclomatic;girth
ba_5685_n170_m2.gml;167;359;0.0259;2;28;4.2994;0.060599;6;3.270106493599627;4;6;0.5071117451434761;0.013877611698836723;0.22103215084411548;0.30892655845836725;0.46629213483146065;3;-0.038971907886708956;0.060599451979385606;0.058823529411764705;8.056122030087755;0.537070948035209;193;
ba_5689_n82_m2.gml;82;166;0.049985;2;20;4.0488;0.087415;6;3.014277215942891;3;6;0.5854928723979417;0.025643631436314363;0.3094138029323214;0.3337614655156542;0.5094339622641509;3;-0.019545473141594903;0.08741511661922445;0.08761682242990654;6.509335895762503;0.5457414721403034;85;
ba_568_n148_m3.gml;148;456;0.041919;3;26;6.1622;0.100622;5;2.7759313367421474;3;5;0.42449428512148846;0.012293254954703094;0.11799039370173399;0.36202371854456683;0.4916387959866221;5;-0.02131882320024387;0.1006217412333646;0.09265255292652554;10.21374152869951;1.3353181945913062;309;
ba_5690_n151_m3.gml;151;450;0.039735;2;37;5.9603;0.09996;5;2.7570720582430597;3;5;0.371451752645832;0.01191578884987481;0.19897587404381384;0.36409019221671574;0.528169014084507;4;-0.12745326819754477;0.09996020123703472;0.07225362496927992;9.807649306625471;1.321914023718646;300;
ba_5692_n98_m2.gml;95;191;0.042777;2;15;4.0211;0.114388;6;3.0577285318559557;4;6;0.4858097161774454;0.022475887728931113;0.17060160448152456;0.3277711028057409;0.43119266055045874;3;-0.2585614586589361;0.11438847702005597;0.04995102840352596;5.983598653013193;0.6462886492358368;97;
ba_5694_n88_m1.gml;25;35;0.116667;2;6;2.8;0.026667;6;2.9792;4;6;0.8;0.09144927536231885;0.3062801932367149;0.3312440088297425;0.46153846153846156;2;0.24787606196901538;0.026666666666666665;0.07692307692307693;3.571746657012148;0.31351465179859733;11;
ba_5698_n77_m2.gml;75;158;0.056937;2;15;4.2133;0.101241;5;2.9425777777777777;4;5;0.4945929864264375;0.027155374552634833;0.19162112201123513;0.3407979053103711;0.48366013071895425;3;-0.04275541538716954;0.10124098124098124;0.08260325406758448;6.297097996550828;0.7105558055158095;84;
ba_5707_n95_m3.gml;95;297;0.066517;3;28;6.2526;0.144372;4;2.5014958448753464;3;4;0.4345214198010587;0.016431263470962923;0.17610029530373505;0.400513242643806;0.573170731707317;4;-0.11655700117699733;0.1443715540229203;0.11573720397249809;9.613858102290665;1.5215341766360164;203;
ba_5711_n158_m3.gml;158;471;0.037975;2;32;5.962;0.10941;5;2.838086845056882;3;5;0.414061448956864;0.01189848609827647;0.16492478275754402;0.3542443365069542;0.4984126984126984;4;-0.07039264954791002;0.10941021884334583;0.0748702742772424;9.727912227187975;1.2310004826097452;314;
ba_5713_n118_m2.gml;116;232;0.034783;2;20;4.0;0.041392;6;3.1798454221165278;4;6;0.48429558293752195;0.01936400220942161;0.19921872851631747;0.3160044429426484;0.44061302681992337;3;-0.2245921884622947;0.04139237199582027;0.02762854950115119;6.296997310870499;0.6424301819670721;117;
ba_5715_n145_m2.gml;143;300;0.029548;2;29;4.1958;0.070984;6;3.200058682576165;4;6;0.5136886062155793;0.01576308019220815;0.30660244125215397;0.31497955313231296;0.48464163822525597;3;-0.07778239962367012;0.07098368112105896;0.05139186295503212;7.341582899897125;0.6862964515010204;158;
ba_5722_n126_m3.gml;126;402;0.051048;2;31;6.381;0.119938;5;2.6472663139329806;3;5;0.42451044826401063;0.01345519713261649;0.1599612850412247;0.37929003103835507;0.5411255411255411;4;-0.06604865246795238;0.11993757025354147;0.0999729070712544;10.224615138014562;1.4247705208554258;277;
ba_5727_n51_m3.gml;51;159;0.124706;3;20;6.2353;0.191526;4;2.2422145328719725;3;4;0.49759127609605963;0.026266506602641054;0.1930309543338502;0.44377377764570797;0.6172839506172839;4;-0.09822887186666886;0.19152629276468286;0.16845582163501238;8.50068390621706;1.6005845730265422;109;
ba_5731_n88_m2.gml;87;191;0.051056;2;23;4.3908;0.087691;6;2.938829435856784;3;6;0.5845141211536147;0.023211786719499344;0.33888200488684145;0.34255355333040194;0.5212121212121212;3;-0.03437349622789361;0.0876911888156266;0.07713498622589532;6.954624035602491;0.6400431883680856;105;
ba_5732_n67_m2.gml;66;139;0.064802;2;15;4.2121;0.156845;5;2.834710743801653;3;5;0.5448228665565213;0.02934877622377622;0.21933723387019552;0.35361403291731275;0.48507462686567165;3;-0.096173473892391;0.15684500684500685;0.10330578512396695;6.317352925792657;0.6017274082771626;74;
ba_5733_n64_m2.gml;63;125;0.064004;2;16;3.9683;0.158897;5;2.7881078357268834;3;5;0.5471012044321932;0.030050447818824336;0.25126290137631946;0.3591592697398438;0.5;3;-0.17752833654550831;0.15889718746861603;0.08047690014903129;6.126072748855969;0.6038289334280297;63;
ba_5734_n171_m2.gml;167;334;0.024096;2;21;4.0;0.063165;6;3.3872853096202804;4;6;0.5295932421354425;0.014592064501883419;0.1884336078021199;0.2982287375275495;0.4267352185089974;3;-0.07767536674128646;0.06316478457984918;0.032950574138791815;7.192074700737363;0.5197593872376649;168;
ba_5735_n136_m3.gml;136;438;0.047712;3;30;6.4412;0.113942;5;2.653871107266436;3;5;0.3635060910090669;0.012489025460930642;0.13204634730844192;0.37838493260449957;0.531496062992126;4;-0.12448429820282879;0.11394240077874392;0.08968926553672317;10.512666048882886;1.3735339342717074;303;
ba_5736_n197_m1.gml;43;58;0.06423;2;9;2.6977;0.0;7;3.618171984856679;4;7;0.7838278858768705;0.06595899846041649;0.4908080305292849;0.27677869651380205;0.4117647058823529;2;-0.189857856319631;0.0;0.0;3.519026679450448;0.20898158940735992;16;
ba_573_n78_m3.gml;78;243;0.080919;2;26;6.2308;0.156806;5;2.408284023668639;3;5;0.5229763603684907;0.018941584731058416;0.20045538638332436;0.4147217776730757;0.5789473684210527;4;-0.17067029626737418;0.15680610281289015;0.12772133526850507;9.156494160219276;1.4215355225581854;166;
ba_5740_n120_m2.gml;116;274;0.041079;2;21;4.7241;0.093225;6;2.9241973840665874;3;6;0.5492265667653956;0.01710197532812541;0.16660924785059938;0.3440381395187733;0.4637096774193548;4;-0.1909295159130327;0.09322484138994228;0.07250755287009064;8.008087432646644;0.7902620235182284;159;
