instance;n;m;density;min_deg;max_deg;mean_deg;clustering;diameter;avg_path_len;ecc_min;ecc_max;ecc_std;betw_avg;betw_max;close_avg;close_max;degeneracy;deg_assort;clustering_avg;transitivity;spectral_radius;algebraic_conn;cyclomatic;girth
ba_5788_n58_m3.gml;58;174;0.105263;3;18;6.0;0.177609;4;2.2907253269916765;3;4;0.4973174173053778;0.023766312332555523;0.1722345751209028;0.434152364529404;0.5757575757575758;4;-0.18765571728297897;0.17760866584395996;0.15137614678899083;8.290679019156785;1.5661529921976534;117;
ba_5794_n65_m3.gml;65;204;0.098077;2;16;6.2769;0.142417;4;2.3971597633136095;3;4;0.47816216208984774;0.02277167277167277;0.0960823658176914;0.41603270853568125;0.5333333333333333;4;-0.028384094187849537;0.14241694203232663;0.13883299798792756;8.507190564429196;1.2930664045389881;140;
ba_5800_n71_m2.gml;67;138;0.062415;2;20;4.1194;0.088205;5;2.831811093784807;3;5;0.5276916277511549;0.02884180496120795;0.3644525145923747;0.35405689455738315;0.5409836065573771;3;-0.10003387290983141;0.08820536188957241;0.08207934336525308;6.365761006503946;0.5986308803542794;72;
ba_5802_n57_m3.gml;57;180;0.112782;3;21;6.3158;0.221756;4;2.2610033856571254;3;4;0.4772445792538752;0.023661426293005237;0.1828277475078468;0.44149329552207667;0.6021505376344086;4;-0.11537575251317918;0.22175639691119567;0.19195250659630606;9.235361422915892;1.540694864641873;124;
ba_5806_n125_m3.gml;125;405;0.052258;3;34;6.48;0.136388;4;2.60352;3;4;0.40587682860690644;0.01320744820351429;0.18186879073264817;0.3857250038753002;0.543859649122807;4;-0.12299347650809904;0.13638752300102147;0.10187265917602996;10.568519112090982;1.5101488744142528;281;
ba_5807_n169_m1.gml;33;46;0.087121;2;11;2.7879;0.14489;7;3.2249770431588614;4;7;0.9251113649984088;0.07502443792766374;0.5569364439324117;0.3121121885381164;0.48484848484848486;2;-0.09076042518397393;0.14489046307228126;0.13333333333333333;4.266657957953343;0.18705105331491112;14;
ba_5817_n191_m1.gml;29;36;0.08867;2;6;2.4828;0.0;7;3.4815695600475625;5;7;0.7133848574336966;0.09651523444626893;0.3851410934744268;0.2832327574156584;0.3888888888888889;2;-0.10800223838836072;0.0;0.0;2.958448436557769;0.20566514480156994;8;
ba_5822_n148_m3.gml;148;441;0.040541;3;34;5.9595;0.115168;5;2.7531957633308983;3;5;0.4363735106072304;0.01213647250829247;0.19169899161037157;0.36482243231383427;0.532608695652174;4;-0.12897310927787525;0.11516755878210987;0.07576132706115375;9.83873557394827;1.304194833141152;294;
ba_5824_n94_m2.gml;92;200;0.047778;2;17;4.3478;0.054493;6;3.0196124763705106;3;6;0.5404262128111328;0.022808833678398893;0.2085214331844516;0.33314218356100667;0.455;3;-0.04686787422383892;0.054493348722888364;0.05685920577617329;6.811892877990589;0.5827163597627846;109;
ba_5829_n118_m2.gml;116;232;0.034783;2;19;4.0;0.046812;6;3.2498513674197382;4;6;0.5756529663722948;0.0199834293379626;0.2568411615440931;0.3104289562464959;0.46;3;-0.11625246950297129;0.04681240568264162;0.04025256511444357;6.550875279017159;0.46891824704021107;117;
ba_5830_n110_m2.gml;108;222;0.038422;2;18;4.1111;0.095453;6;3.103737997256516;4;6;0.4992277987669841;0.020120234853086203;0.1812579693861653;0.32491322725005845;0.46120689655172414;3;-0.08247253648139072;0.09545344512664773;0.07882882882882883;7.2258794377989375;0.5791018331665871;115;
