ppo_gnn_LSTM-PreRshaping,ppo_gnn_LSTM-PreRshaping_initial_local_crossings,ppo_gnn_LSTM-PreRshaping_improvement,ppo_gnn_LSTM-PreRshaping_solved,ppo_gnn_LSTM-PreRshaping_runtime
14,23,9,False,3.91
3,4,1,True,0.09
7,9,2,False,4.53
3,5,2,True,0.44
14,18,4,False,4.18
4,5,1,False,2.56
19,25,6,False,5.03
18,23,5,False,4.69
19,22,3,False,4.46
4,8,4,False,2.71
8,9,1,False,2.97
4,7,3,False,3.0
17,19,2,False,4.89
9,15,6,False,3.18
24,27,3,False,5.97
9,9,0,False,4.47
10,20,10,False,3.45
4,7,3,False,2.97
12,15,3,False,4.2
2,5,3,False,3.03
6,9,3,False,3.17
4,6,2,False,3.41
4,9,5,False,2.92
